test_case,request_num,latency_ms
fake1,1,127.56991386413574
fake1,2,100.21400451660156
fake1,3,110.54325103759766
fake1,4,164.4120216369629
fake1,5,91.08996391296387
fake1,6,82.69691467285156
fake1,7,112.41602897644043
fake1,8,96.70591354370117
fake1,9,172.63412475585938
fake1,10,99.98178482055664
fake1,11,95.02601623535156
fake1,12,109.95316505432129
fake1,13,147.413969039917
fake1,14,84.29694175720215
fake1,15,95.69692611694336
fake1,16,90.61098098754883
fake1,17,95.4139232635498
fake1,18,158.76007080078125
fake1,19,86.56716346740723
fake1,20,92.6828384399414
fake1,21,90.79861640930176
fake1,22,87.22496032714844
fake1,23,164.89505767822266
fake1,24,94.36821937561035
fake1,25,86.45391464233398
fake1,26,95.43585777282715
fake1,27,93.55711936950684
fake1,28,152.79412269592285
fake1,29,97.27692604064941
fake1,30,97.15700149536133
fake1,31,82.4270248413086
fake1,32,100.88896751403809
fake1,33,149.4457721710205
fake1,34,96.44389152526855
fake1,35,100.59785842895508
fake1,36,91.20798110961914
fake1,37,96.33588790893555
fake1,38,183.4888458251953
fake1,39,87.89706230163574
fake1,40,100.53396224975586
fake1,41,93.75
fake1,42,104.43425178527832
fake1,43,180.02724647521973
fake1,44,105.30781745910645
fake1,45,91.56394004821777
fake1,46,96.405029296875
fake1,47,144.81377601623535
fake1,48,96.85397148132324
fake1,49,87.14413642883301
fake1,50,98.88005256652832
fake1,51,98.64497184753418
fake1,52,194.47708129882812
fake1,53,99.3049144744873
fake1,54,86.03501319885254
fake1,55,97.70512580871582
fake1,56,190.08111953735352
fake1,57,93.04022789001465
fake1,58,95.73578834533691
fake1,59,93.44077110290527
fake1,60,106.45890235900879
fake1,61,179.2910099029541
fake1,62,97.53990173339844
fake1,63,100.37684440612793
fake1,64,95.79706192016602
fake1,65,93.54281425476074
fake1,66,179.06928062438965
fake1,67,99.19095039367676
fake1,68,101.47809982299805
fake1,69,90.52109718322754
fake1,70,197.24106788635254
fake1,71,100.93903541564941
fake1,72,91.78900718688965
fake1,73,90.2400016784668
fake1,74,192.30890274047852
fake1,75,96.68803215026855
fake1,76,94.56205368041992
fake1,77,86.64226531982422
fake1,78,111.32693290710449
fake1,79,179.61406707763672
fake1,80,98.60396385192871
fake1,81,106.15801811218262
fake1,82,96.47083282470703
fake1,83,176.3479709625244
fake1,84,98.22607040405273
fake1,85,95.14498710632324
fake1,86,88.1190299987793
fake1,87,103.61909866333008
fake1,88,183.91132354736328
fake1,89,92.14901924133301
fake1,90,103.01804542541504
fake1,91,91.00103378295898
fake1,92,87.61096000671387
fake1,93,159.19089317321777
fake1,94,98.25491905212402
fake1,95,87.87775039672852
fake1,96,96.1768627166748
fake1,97,189.07999992370605
fake1,98,87.9058837890625
fake1,99,100.22711753845215
fake1,100,93.9631462097168
fake2,1,94.86532211303711
fake2,2,145.79510688781738
fake2,3,95.46494483947754
fake2,4,100.00395774841309
fake2,5,98.0379581451416
fake2,6,91.56489372253418
fake2,7,139.56522941589355
fake2,8,102.08892822265625
fake2,9,101.44782066345215
fake2,10,93.77837181091309
fake2,11,90.63196182250977
fake2,12,193.2997703552246
fake2,13,104.97403144836426
fake2,14,95.9310531616211
fake2,15,88.68408203125
fake2,16,178.97701263427734
